연번,구장명,주소,비고,교육/대관,위도,경도
1,스트리트풋살파크,서울 강서구 화곡로 142 메가스퀘어빌딩 8층,"5:5, 옥상",대관,37.5405672,126.8375823
2,로꼬풋살아레나신목동점,서울 양천구 등촌로 100,"4:4, 실내",대관,37.53885544,126.8639568
3,한국풋살클럽,서울 양천구 등촌로 10 옥상 한국풋살클럽,"4:4, 옥상",교육,37.53082324,126.8642362
4,피치푸마목동,서울 양천구 목동서로 170 홈플러스 목동점 6F,"6:6, 옥상",대관,37.53024435,126.8733
5,로꼬풋살아레나목동점,서울 양천구 목동서로 213,"4:4, 실내",대관,37.52801817,126.8706165
6,로꼬풋살아레나신도림점,"서울 구로구 신도림로11나길 8 지상, 지하 1층","4:4, 실내",대관,37.50908414,126.8794221
7,킥오프풋볼클럽,서울 영등포구 선유로 85 지하1층,"4:4, 실내",교육,37.52152859,126.8895301
8,업핏풋볼그라운드,서울 영등포구 당산로 241 9F,"4:4, 실내",교육,37.5352145,126.902539
9,플랩스타디움가산마리오점,서울 금천구 벚꽃로 266 4층,"5:5, 옥상",대관,37.47844607,126.8850813
10,관악축구센터,서울 관악구 관악로 116 지하1층,"4:4, 실내",교육,37.47560402,126.9530831
11,누리풋볼,서울 강남구 논현로 748 지하1층,"4:4, 실내",교육,37.51866695,127.0289432
12,압구정풋살스튜디오,서울 강남구 압구정로50길 28 지하1층,"4:4, 실내",교육,37.52664725,127.037303
13,JMJ축구아카데미본점,서울 강남구 테헤란로19길 17 지하 1층,"4:4, 실내",교육,37.50114697,127.0331821
14,피엘풋볼아카데미,서울 강남구 논현로86길 34 B2,"4:4, 실내",교육,37.50035738,127.0403066
15,로꼬풋살스타디움롯데마트제타플렉스점,서울 송파구 올림픽로 240 잠실롯데마트 제타플렉스동 R층,"5:5, 옥상",대관,37.51096772,127.0953685
16,강동송파풋살장,서울 송파구 토성로 58 옥상,"5:5, 옥상",교육,37.52902976,127.1160782
17,천마풋살파크,서울 송파구 성내천로29길 28,"6:6, 야외",교육,37.50204978,127.1535257
18,홍싸커&실내풋살장,서울 강동구 동남로 891 현대델리안 지하1층,"4:4, 실내",교육,37.55331529,127.1559457
19,고덕풋살장,서울 강동구 아리수로 185 고덕풋살장,"5:5, 야외",교육,37.56174508,127.1487113
20,마루풋살장,서울 도봉구 도당로 76 방학프라자 5층,"4:4, 실내",교육,37.66457203,127.0359663
21,루다풋살장,서울 도봉구 방학로 223 신동아프라자 옥상,"6:6, 옥상",대관,37.66127097,127.027471
22,도봉풋살장,서울 도봉구 방학로 266-50,"6:6, 야외",대관,37.66320107,127.0228544
23,라온풋살장,서울 도봉구 방학동 553-2,"6:6, 야외",대관,37.66091087,127.019472
24,하라풋살장,서울 노원구 동일로 1323 하라프라자,"6:6, 옥상",대관,37.64680939,127.0626192
25,SMC풋살PARK이마트점,서울 노원구 마들로3길 37 상가 지하1층,"4:4, 실내",교육,37.62878036,127.062012
26,티키타카스포츠,서울 강북구 솔샘로 243-9 2층 티키타카스포츠,"4:4, 실내",교육,37.62019465,127.0197367
27,서경대풋살파크,서울 성북구 서경로 118,"6:6, 야외",대관,37.61395919,127.0129246
28,짐앤아이풋살센터,서울 노원구 공릉로 183 4층/5층 옥외,"4:4, 실내",교육,37.6261131,127.0795511
29,SMC풋살PARK광운대점,서울 노원구 석계로 103 지하1층,"4:4, 실내",교육,37.62283569,127.0607109
30,성북실내풋살장,서울 성북구 고려대로 29 지하 1층,"4:4, 실내",교육,37.58655736,127.0226061
31,HM풋살파크동대문점,서울 동대문구 천호대로 133 홈플러스 동대문점 옥상층 HM풋살파크,"6:6, 옥상",대관,37.57454898,127.0387678
32,로꼬풋살아레나동대문점,서울 동대문구 답십리로 209,"4:4, 실내",대관,37.573,127.0640233
33,토모풋살파크,서울 동대문구 천호대로69길 12 옥상,"6:6, 옥상",교육,37.56848838,127.0518893
34,성동FC성수동1가점,서울 성동구 성수일로 57 3층,"4:4, 옥상",교육,37.54571689,127.0498197
35,성수풋살장,서울 성동구 뚝섬로1길 18,"4:4, 실내",교육,37.54272967,127.0467197
36,성수실내축구장,서울 성동구 성수이로 69,"4:4, 실내",교육,37.54136997,127.0556117
37,워커힐아파트상가옥상풋살파크,서울 광진구 아차산로 635 워커힐아파트,"5:5, 옥상",교육,37.54943795,127.1072174
38,SKY SPORTS CLUB,서울 광진구 구의로 28 5층 501호,"5:5, 옥상",교육,37.54029306,127.0897937
39,퍼스트사커,서울 광진구 뚝섬로 548,"4:4, 실내",교육,37.53449982,127.0707089
40,비컴풋볼아카데미,서울 성북구 보문로 70-1 b1,"4:4, 실내",교육,37.5817743,127.0215869
41,아디다스더베이스서울,서울 용산구 한강대로23길 55 현대아이파크몰 리빙파크 9층,"6:6, 옥상",대관,37.52977212,126.9647414
42,LIFE FC 축구교실,서울 은평구 응암로 229,"4:4, 실내",교육,37.59240924,126.9174929
43,스카이필드 은평점,서울 은평구 통일로 1050 롯데몰 은평점 9층 스포테이먼트코어,"6:6, 옥상",대관,37.63753669,126.9179001
44,KTC실내풋살,서울 구로구 고척로19길 41 매봉빌딩,"4:4, 실내",교육,37.50300641,126.8445595
